"Add New Quote","Add New Quote"
"Manage Quotations","Manage Quotations"
"Manage Custom Fields","Manage Custom Fields"
"Manage Quotation Rules","Manage Quotation Rules"
Settings,Settings
Guide,Guide
"Get Support","Get Support"
"Submit Quote","Submit Quote"
"Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
Cancel,Cancel
"Create New Quote for %1 in %2","Create New Quote for %1 in %2"
"Create New Quote in %1","Create New Quote in %1"
"Create New Quote for %1","Create New Quote for %1"
"Create New Quote for New Customer","Create New Quote for New Customer"
"You created the order.","You created the order."
"Order saving error: %1","Order saving error: %1"
Delete,Delete
"Are you sure you want to send a confirmation email to customer?","Are you sure you want to send a confirmation email to customer?"
"Send Email","Send Email"
"Create Order","Create Order"
"Save Quote","Save Quote"
"Save Quote & Send Update Email","Save Quote & Send Update Email"
"Send an email contains a purchase link to customer email. Customer click and redirect to site.","Send an email contains a purchase link to customer email. Customer click and redirect to site."
"Accept Request","Accept Request"
"Order # %1 %2 | %3","Order # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed."
"Are you sure? This order will be canceled and a new one will be created instead.","Are you sure? This order will be canceled and a new one will be created instead."
"Please correct the parent block for this block.","Please correct the parent block for this block."
" [deleted]"," [deleted]"
Edit,Edit
"Invalid parent block for this block","Invalid parent block for this block"
Information,Information
"Order Information","Order Information"
"Form Information","Form Information"
"Invalid method: %1","Invalid method: %1"
"My Orders","My Orders"
"<img src=""%1"" alt=""rfq-icon""/>","<img src=""%1"" alt=""rfq-icon""/>"
"You sent the confirmation email.","You sent the confirmation email."
"Something went wrong while processing your quote. Please try again later.","Something went wrong while processing your quote. Please try again later."
Quotations,Quotations
"New Quote","New Quote"
"You created the quote.","You created the quote."
"Quote saving error: %1","Quote saving error: %1"
"We can't find a quote to delete.","We can't find a quote to delete."
